6, 32
50, 52
26, 55
73, 38
97, 69
49, 43
43, 98
85, 1
27, 0
33, 16
90, 77
63, 35
14, 40
68, 94
72, 78
55, 25
76, 81
62, 59
86, 23
4, 91
19, 28
7, 89
98, 23
2, 27
25, 72
36, 82
81, 93
99, 50
50, 79
98, 13
81, 11
70, 89
57, 62
89, 60
65, 51
84, 41
47, 24
41, 40
73, 43
13, 32
37, 40
54, 46
4, 77
1, 1
18, 55
29, 62
81, 9
19, 60
39, 73
4, 9
77, 19
24, 96
90, 30
87, 21
77, 93
94, 54
40, 81
87, 23
58, 59
50, 83
44, 90
88, 51
84, 61
97, 33
93, 82
89, 45
82, 35
54, 26
68, 67
77, 81
4, 57
83, 76
57, 95
6, 10
28, 81
43, 79
18, 84
54, 10
29, 10
75, 60
73, 94
29, 90
33, 32
9, 66
8, 28
33, 36
96, 55
39, 86
82, 97
34, 62
52, 97
58, 71
30, 74
29, 21
42, 2
24, 88
44, 39
18, 15
14, 31
5, 71
